Receipt No,Cust ID,Sale Date,Total,Customer Email,Mobile,Till,Served By
KCH-20260601-0412,LOY-8801,2026-06-01 08:12:00,"1,250.00",naomi.wangui@example.test,+254712000801,2,Mercy
KCH-20260603-0517,LOY-8802,2026-06-03 12:45:00,860.00,peter.otieno@example.test,,1,Kevin
KCH-20260608-0688,LOY-8801,2026-06-08 08:20:00,980.50,,+254712000801,2,Mercy
KCH-20260609-0701,LOY-8803,2026-06-09 17:05:00,"2,340.00",salome.kariuki@example.test,+254712000803,3,Mercy
KCH-20260615-0844,LOY-8801,2026-06-15 08:31:00,"1,110.00",,,1,Kevin
KCH-20260616-0902,LOY-8802,2026-06-16 12:30:00,745.00,,+254712000802,2,Achieng
KCH-20260617-0938,LOY-8804,2026-06-17 09:15:00,530.00,tom.mburu@example.test,,1,Kevin
KCH-20260622-1044,LOY-8801,2026-06-22 08:26:00,"1,275.00",,,2,Mercy
KCH-20260623-1101,LOY-8803,2026-06-23 16:50:00,"1,980.00",,+254712000803,3,Achieng
KCH-20260624-1156,LOY-8805,2026-06-24 11:02:00,690.00,,,1,Kevin
KCH-20260629-1287,LOY-8801,2026-06-29 08:18:00,"1,050.00",,,2,Mercy
KCH-20260630-1322,LOY-8802,2026-06-30 12:55:00,910.00,,+254712000802,1,Achieng
KCH-20260701-1390,LOY-8804,2026-07-01 09:22:00,615.00,,+254712000804,1,Kevin
KCH-20260706-1501,LOY-8801,2026-07-06 08:29:00,"1,180.00",,,2,Mercy
KCH-20260707-1544,LOY-8803,2026-07-07 17:12:00,"2,105.00",,,3,Mercy
KCH-20260708-1602,LOY-8806,2026-07-08 10:40:00,"1,430.00",grace.njeri@example.test,+254712000806,2,Achieng
KCH-20260713-1733,LOY-8801,2026-07-13 08:24:00,"1,205.00",,,2,Mercy
KCH-20260714-1780,LOY-8802,2026-07-14 12:38:00,825.00,,,1,Kevin
KCH-20260715-1811,LOY-8805,2026-07-15 11:15:00,720.00,,,1,Achieng
KCH-20260720-1955,LOY-8801,2026-07-20 08:33:00,"1,090.00",,,2,Mercy
KCH-20260721-2004,LOY-8806,2026-07-21 10:55:00,"1,510.00",,+254712000806,2,Kevin
KCH-20260722-2048,LOY-8804,2026-07-22 09:08:00,585.00,,+254712000804,1,Achieng
KCH-20260727-2199,LOY-8802,2026-07-27 12:41:00,880.00,,,1,Mercy
KCH-20260728-2241,LOY-8803,2026-07-28 16:35:00,"2,260.00",,,3,Kevin
KCH-20260728-2244,LOY-8807,2026-07-28 18:02:00,435.00,,,1,Kevin
